,,,,,,,,,,,,
Company Name,Ticker,Data Type,Currency,Magnitude,,FY-2019,FY-2020,FY-2021,FY-2022,FY-2023,FY-2024,FY-2025
Xiaomi Corporation,1810_HK,CD,CNY,M,Revenue - Smartphones,122094.9,152190.891,208868.944,167217.177,157461.309,191759.315,186439.777
,,,,,Revenue - IoT and lifestyle products,62088,67410.453,84980.1,79794.877,80107.74,104103.874,123200.191
,,,,,"Revenue - Smart EV, AI and other new initiatives",-,-,-,-,-,32753.6,106069.513
,,,,,Revenue - Others,1814.2,2509.004,6248.365,4710.518,3293.598,3174.14899999996,4136.85999999996
,,,,,,,,,,,,
,,,,,Revenue - China,114608.633,123484.251,164717.704,142258.417,149189.72,212562.449,306223.141
,,,,,Revenue - Rest of the world,91230.049,122381.382,163591.441,137785.599,121780.421,153343.901,151063.546
,,,,,Revenue,205838.682,245865.633,328309.145,280044.016,270970.141,365906.35,457286.687
,,,,,,,,,,,,
,,,,CNY,EPS attributable to common stockholders - Diluted,0.41,0.83,0.76,0.1,0.68911373260327,0.926279419801116,1.56
,,,,,Net income/(loss),10102.95,20312.71,19283.235,2502.568,17474.196,23578.449,41566.439
,,,,,,,,,,,,
,,,,#,Shipments - SU7,-,-,-,-,-,136854,265793.736363636
,,,,,Shipments - YU7,-,-,-,-,-,-,158498.809090909
,,,,,Shipments - EV vehicles,-,-,-,-,-,136854,411082
,,,,CNY,ASP - SU7,-,-,-,-,-,233631.413089696,249272.139119718
,,,,,ASP - YU7,-,-,-,-,-,250000,259533.33779587
,,,,,ASP - EV vehicles,-,-,-,-,-,234479,258026.47736302
,,,,,,,,,,,,
,,,,YoY,Revenue - Smartphones,7%,25%,37%,-20%,-6%,22%,-3%
,,,,,Revenue - IoT and lifestyle products,42%,9%,26%,-6%,0%,30%,18%
,,,,,"Revenue - Smart EV, AI and other new initiatives",-,-,-,-,-,-,224%
,,,,,Revenue - Others,35%,38%,149%,-25%,-30%,-4%,30%
,,,,,,,,,,,,
,,,,,Revenue - China,9%,8%,33%,-14%,5%,42%,44%
,,,,,Revenue - Rest of the world,30%,34%,34%,-16%,-12%,26%,-1%
,,,,,,,,,,,,
,,,,,Revenue,18%,19%,34%,-15%,-3%,35%,25%
,,,,,,,,,,,,
,,,,,EPS attributable to common stockholders - Diluted,-29%,102%,-8%,-87%,589%,34%,68%
,,,,,Net income/(loss),-25%,101%,-5%,-87%,598%,35%,76%
,,,,,,,,,,,,
,,,,,Shipments - SU7,-,-,-,-,-,-,94%
,,,,,Shipments - YU7,-,-,-,-,-,-,-
,,,,,Shipments - EV vehicles,-,-,-,-,-,-,200%
,,,,,ASP - SU7,-,-,-,-,-,-,7%
,,,,,ASP - YU7,-,-,-,-,-,-,4%
,,,,,ASP - EV vehicles,-,-,-,-,-,-,10%
